author_id,source,title,authors,publisher,year,cited,quartile,link
258595,googlescholar,OPTIMIZATION OF ACCOUNTING KNOWLEGDE THROUGH ACCOUNTING SOFTWARE PRACTICUM,"SD Anggadini, S Surtikanti, E Junniyawati, YP Suryadi, S Damayanti","Jurnal Riset Akuntansi 17 (1), 44-56, 2025",2025,1 cited,,https://scholar.google.com/scholar?q=+intitle:'OPTIMIZATION OF ACCOUNTING KNOWLEGDE THROUGH ACCOUNTING SOFTWARE PRACTICUM'
258595,googlescholar,PENGEMBANGAN AGROWISATA KULINER BERBASIS UMKM MELALUI KEGIATAN PENGABDIAN INTERNASIONAL DI WATUGEDHEK BATU: Development of Sme-Based Culinary Agri-Tourism Through International …,"RS Utami, A Risfandini, DF Heriyawati, KF Anugerahputra, SD Anggadini, ...","JAMAS: Jurnal Abdi Masyarakat 3 (3), 988-994, 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'PENGEMBANGAN AGROWISATA KULINER BERBASIS UMKM MELALUI KEGIATAN PENGABDIAN INTERNASIONAL DI WATUGEDHEK BATU: Development of Sme-Based Culinary Agri-Tourism Through International …'
258595,googlescholar,Financial Accounting Reporting Determination of the Performance of Regional Equipment Organization Management in Indonesia.,"SD Anggadini, DS Saleh, A SAEPUDIN, AS Yahya, S Surtikanti, T Dewi","Quality-Access to Success 26 (209), 2025",2025,2 cited,,https://scholar.google.com/scholar?q=+intitle:'Financial Accounting Reporting Determination of the Performance of Regional Equipment Organization Management in Indonesia.'
258595,googlescholar,Improving The Performance of SMEs through Financial Literacy and Information Technology: Accounting Reporting as Mediation,"SD Anggadini, DA Wahab, R Yunanto, AN Margin, E Fahrana, ...","8th International Conference on Business, Economics, Social Sciences, and …, 2025",2025,2 cited,,https://scholar.google.com/scholar?q=+intitle:'Improving The Performance of SMEs through Financial Literacy and Information Technology: Accounting Reporting as Mediation'
258595,googlescholar,Manhaj Mutakallimin in Usul Fiqh: Theoretical Foundations for Contemporary Islamic Economic Ijtihad,"S Damayanti, AY Rusyana, SD Anggadini","Al-Kharaj: Journal of Islamic Economic and Business 7 (4), 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'Manhaj Mutakallimin in Usul Fiqh: Theoretical Foundations for Contemporary Islamic Economic Ijtihad'
258595,googlescholar,Pelatihan Vokasional Bidang E-Commerce bagi UMKM Peserta Sekolah Perempuan Jawa Barat,"SK Rahayu, U Narimawati, M Nawawi, S Mauluddin, R Sidik, D Munandar, ...","JURPIKAT (Jurnal Pengabdian Kepada Masyarakat) 6 (4), 2404-2419, 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'Pelatihan Vokasional Bidang E-Commerce bagi UMKM Peserta Sekolah Perempuan Jawa Barat'
258595,googlescholar,Digital Accounting Transformation in SMEs: A Systematic Analysis of Operational Efficiency Improvements in Indonesian Context,"SD Anggadini, AP Purfini¹, HD Yulianto¹","Proceedings of the 8th International Conference on Informatics, Engineering …, 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'Digital Accounting Transformation in SMEs: A Systematic Analysis of Operational Efficiency Improvements in Indonesian Context'
258595,googlescholar,OPTIMALISASI PENGEMASAN PRODUK DAN PENGELOLAAN KEUANGAN SEBAGAI UPAYA MENINGKATKAN PENJUALAN UMKM IBU TUNGGAL,"SD Anggadini, S SURTIKANTI, YA EKAWARDHANI","Indonesian Community Service and Empowerment Journal (IComSE) 6 (2), 2025",2025,0 cited,,https://scholar.google.com/scholar?q=+intitle:'OPTIMALISASI PENGEMASAN PRODUK DAN PENGELOLAAN KEUANGAN SEBAGAI UPAYA MENINGKATKAN PENJUALAN UMKM IBU TUNGGAL'
258595,googlescholar,"Perancangan dan Implementasi Simpuh (Sistem Informasi Pemasaran, Keuangan, dan Unit Usaha) untuk Optimalisasi Kinerja BUMDes","R Yunanto, DA Wahab, SD Anggadini, AP Purfini, HD Yulianto","Eqien-Jurnal Ekonomi dan Bisnis 14 (04), 1299–1320-1299–1320, 2025",2025,0 cited,,"https://scholar.google.com/scholar?q=+intitle:'Perancangan dan Implementasi Simpuh (Sistem Informasi Pemasaran, Keuangan, dan Unit Usaha) untuk Optimalisasi Kinerja BUMDes'"
258932,scopus,"Preface: Proceeding of the 5th International Conference on Informatics Engineering, Science & Technology (INCITEST) 2022",,Aip Conference Proceedings,2025,0 cited,Q4 as Conference Proceedin,https://www.scopus.com/record/display.uri?eid=2-s2.0-85219173906&origin=resultslist
