nama,profile_url,departemen,sinta_id,hindex_scopus,hindex_gs,sinta_score_3yr,sinta_score,affil_score_3yr,affil_score
TATIK FIDOWATY,https://sinta.kemdiktisaintek.go.id/authors/profile/6098702,Ilmu Pemerintahan (S1),6098702,0,5,64,310,64,310
RIANI LUBIS,https://sinta.kemdiktisaintek.go.id/authors/profile/258776,Teknik Informatika (S1),258776,1,5,63,620,63,620
TRI WIDIANTI NATALIA,https://sinta.kemdiktisaintek.go.id/authors/profile/258619,Teknik Arsitektur (S1),258619,1,6,63,355,63,355
IVAN KURNIAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258675,Desain Grafis (D3),258675,0,0,63,675,63,675
HERMAN SURDIATNO SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/5979611,Ilmu Manajemen (S3),5979611,5,10,62,539,62,539
ARIF TRY CAHYADI,https://sinta.kemdiktisaintek.go.id/authors/profile/6200325,Desain Komunikasi Visual (S1),6200325,1,3,61,238,61,238
MARI MARYATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6776496,Manajemen (S1),6776496,1,3,61,145,61,145
RIZKI ZULFIKAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258566,Manajemen (S1),258566,0,3,60,783,60,783
GERALDI CATUR PAMUJI,https://sinta.kemdiktisaintek.go.id/authors/profile/6656635,Sistem Informasi (S2),6656635,3,4,60,191,60,191
IRWAN TARMAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258701,Desain Komunikasi Visual (S1),258701,1,0,57,571,57,571
YASUNDARI,https://sinta.kemdiktisaintek.go.id/authors/profile/6803414,Ilmu Komunikasi (S1),6803414,0,4,57,67,57,67
DENI ALBAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258730,Desain Komunikasi Visual (S1),258730,0,4,56,698,56,698
IRFAN DWIGUNA SUMITRA,https://sinta.kemdiktisaintek.go.id/authors/profile/5999480,Sistem Informasi (S2),5999480,4,7,55,1.274,55,1.274
SALMON PRIAJI MARTANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6008206,Teknik Arsitektur (S1),6008206,1,4,54,472,54,472
INTA BUDI SETYA NUSA,https://sinta.kemdiktisaintek.go.id/authors/profile/258632,Akuntansi (S1),258632,1,4,54,490,54,490
WARTIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/6132614,Sistem Informasi (S1),6132614,2,5,54,336,54,336
RIZKY JUMANSYAH,https://sinta.kemdiktisaintek.go.id/authors/profile/6803107,Unknown,6803107,1,1,52,87,52,87
HENIKE PRIMAWANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6703644,Ilmu Hubungan Internasional (S1),6703644,0,5,51,131,51,131
WANTORO,https://sinta.kemdiktisaintek.go.id/authors/profile/258677,Desain Grafis (D3),258677,0,5,51,640,51,640
INGGAR PRAYOGA,https://sinta.kemdiktisaintek.go.id/authors/profile/6005603,Ilmu Komunikasi (S1),6005603,2,4,49,677,49,677
RYANTY DERWENTYANA NAZHAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258788,Desain Interior (S1),258788,1,5,48,371,48,371
DINA FATIMAH,https://sinta.kemdiktisaintek.go.id/authors/profile/258607,Desain Interior (S1),258607,2,3,48,506,48,506
SELVIA LORENA BR GINTING,https://sinta.kemdiktisaintek.go.id/authors/profile/258870,Sistem Komputer (S1),258870,2,9,47,533,47,533
SUSMINI INDRIANI L,https://sinta.kemdiktisaintek.go.id/authors/profile/258895,Teknik Komputer (D3),258895,2,0,47,444,47,444
NOVA CHANDRA ADITYA,https://sinta.kemdiktisaintek.go.id/authors/profile/6762594,Teknik Arsitektur (S1),6762594,0,2,46,183,46,183
TONO HARTONO,https://sinta.kemdiktisaintek.go.id/authors/profile/258726,Sistem Informasi (S1),258726,2,6,45,405,45,405
SATRIA INDRA PRAJA PERSADA,https://sinta.kemdiktisaintek.go.id/authors/profile/258700,Desain Interior (S1),258700,0,3,45,306,45,306
GALIH HERMAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258217,Teknik Informatika (S1),258217,3,7,44,258,44,258
TAUFIQ NUZWIR NIZAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258948,Sistem Komputer (S1),258948,2,5,44,283,44,283
TAUFAN HIDAYATULLAH,https://sinta.kemdiktisaintek.go.id/authors/profile/258820,Desain (S2),258820,1,3,44,457,44,457
VITTA PRATIWI,https://sinta.kemdiktisaintek.go.id/authors/profile/6005450,Teknik Sipil (S1),6005450,1,2,43,249,43,249
DIANA ANDRIANI,https://sinta.kemdiktisaintek.go.id/authors/profile/6003825,Teknik Industri (S1),6003825,5,5,43,582,43,582
CHERRY DHARMAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/5981885,Desain Interior (S1),5981885,1,4,42,825,42,825
ANDRI HERYANDI,https://sinta.kemdiktisaintek.go.id/authors/profile/258867,Teknik Informatika (S1),258867,2,10,42,623,42,623
CITRA NOVIYASARI,https://sinta.kemdiktisaintek.go.id/authors/profile/5983808,Sistem Informasi (S1),5983808,0,3,41,177,41,177
IRMA ROCHMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6035959,Desain Grafis (D3),6035959,0,5,41,500,41,500
SYLVIA OCTA PUTRI,https://sinta.kemdiktisaintek.go.id/authors/profile/258812,Ilmu Hubungan Internasional (S1),258812,1,3,39,355,39,355
GENTISYA TRI MARDIANI,https://sinta.kemdiktisaintek.go.id/authors/profile/258860,Teknik Informatika (S1),258860,1,4,38,467,38,467
UTAMI DEWI WIDIANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258735,Teknik Informatika (S1),258735,2,7,38,551,38,551
WANITA SUBADRA ABIOSO,https://sinta.kemdiktisaintek.go.id/authors/profile/258659,Unknown,258659,2,6,36,396,36,396
ANDI HARAPAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6004967,Teknik Arsitektur (S1),6004967,1,5,36,297,36,297
DIDIT ANDRI JATMIKO,https://sinta.kemdiktisaintek.go.id/authors/profile/6681765,Teknik Informatika (S1),6681765,2,3,36,464,36,464
